scenario,seed,tick,warmup,category,good,tier,price,units,sold,blocked,unaffordable,mix_share,category_mix_share
credit_off,1,4,1,food,food,standard,320.13,400,400,101,28,0.400802,0.400802
credit_off,1,4,1,food,food,premium,525.77,200,200,103,10,0.200401,0.200401
credit_off,1,4,1,leisure,leisure,budget,119.92,400,384,0,1,0.390244,0.390244
credit_off,1,4,1,leisure,leisure,standard,204.60,400,400,41,11,0.406504,0.406504
credit_off,1,4,1,leisure,leisure,premium,351.22,200,200,67,6,0.203252,0.203252
credit_off,1,4,1,clothing,clothing,budget,258.17,67,67,21,11,0.403614,0.403614
credit_off,1,4,1,clothing,clothing,standard,395.73,67,67,40,9,0.403614,0.403614
credit_off,1,4,1,clothing,clothing,premium,660.34,33,32,0,2,0.192771,0.192771
credit_off,1,4,1,hobby,hobby,budget,387.79,33,31,0,13,0.382716,0.382716
credit_off,1,4,1,hobby,hobby,standard,594.07,33,33,16,4,0.407407,0.407407
credit_off,1,4,1,hobby,hobby,premium,984.34,17,17,6,4,0.209877,0.209877
credit_off,1,4,1,electronics,electronics,budget,557.26,11,11,8,12,0.440000,0.440000
credit_off,1,4,1,electronics,electronics,standard,863.30,11,11,5,4,0.440000,0.440000
credit_off,1,4,1,electronics,electronics,premium,1475.52,6,3,0,1,0.120000,0.120000
credit_off,1,4,1,appliances,appliances,budget,523.21,4,4,8,2,0.571429,0.571429
credit_off,1,4,1,appliances,appliances,standard,808.98,4,2,0,2,0.285714,0.285714
credit_off,1,4,1,appliances,appliances,premium,1299.60,2,1,0,0,0.142857,0.142857
credit_off,1,5,1,food,food,budget,184.41,400,399,0,0,0.399399,0.399399
credit_off,1,5,1,food,food,standard,324.17,400,400,33,28,0.400400,0.400400
credit_off,1,5,1,food,food,premium,539.31,200,200,64,11,0.200200,0.200200
credit_off,1,5,1,leisure,leisure,budget,119.68,400,392,0,2,0.395560,0.395560
credit_off,1,5,1,leisure,leisure,standard,205.65,400,399,0,20,0.402624,0.402624
credit_off,1,5,1,leisure,leisure,premium,357.10,200,200,36,8,0.201816,0.201816
credit_off,1,5,1,clothing,clothing,budget,262.21,67,67,39,8,0.401198,0.401198
credit_off,1,5,1,clothing,clothing,standard,407.55,67,67,24,7,0.401198,0.401198
credit_off,1,5,1,clothing,clothing,premium,659.34,33,33,6,2,0.197605,0.197605
credit_off,1,5,1,hobby,hobby,budget,386.61,33,27,0,15,0.409091,0.409091
credit_off,1,5,1,hobby,hobby,standard,608.47,33,22,0,6,0.333333,0.333333
credit_off,1,5,1,hobby,hobby,premium,1001.71,17,17,2,3,0.257576,0.257576
credit_off,1,5,1,electronics,electronics,budget,577.52,11,11,6,12,0.407407,0.407407
credit_off,1,5,1,electronics,electronics,standard,882.92,11,11,1,7,0.407407,0.407407
credit_off,1,5,1,electronics,electronics,premium,1438.63,6,5,0,8,0.185185,0.185185
credit_off,1,5,1,appliances,appliances,budget,549.37,4,4,8,2,0.444444,0.444444
credit_off,1,5,1,appliances,appliances,standard,788.76,4,4,4,0,0.444444,0.444444
credit_off,1,5,1,appliances,appliances,premium,1267.11,2,1,0,4,0.111111,0.111111
credit_off,1,6,1,food,food,budget,184.38,400,400,0,0,0.400000,0.400000
credit_off,1,6,1,food,food,standard,325.51,400,400,14,23,0.400000,0.400000
credit_off,1,6,1,food,food,premium,547.94,200,200,21,12,0.200000,0.200000
credit_off,1,6,1,leisure,leisure,budget,119.56,400,379,0,2,0.387130,0.387130
credit_off,1,6,1,leisure,leisure,standard,205.63,400,400,21,21,0.408580,0.408580
credit_off,1,6,1,leisure,leisure,premium,360.31,200,200,13,8,0.204290,0.204290
credit_off,1,6,1,clothing,clothing,budget,269.85,67,67,7,18,0.401198,0.401198
credit_off,1,6,1,clothing,clothing,standard,414.85,67,67,23,6,0.401198,0.401198
credit_off,1,6,1,clothing,clothing,premium,665.33,33,33,0,1,0.197605,0.197605
credit_off,1,6,1,hobby,hobby,budget,383.10,33,30,0,23,0.379747,0.379747
credit_off,1,6,1,hobby,hobby,standard,598.33,33,33,15,4,0.417722,0.417722
credit_off,1,6,1,hobby,hobby,premium,1007.61,17,16,0,3,0.202532,0.202532
credit_off,1,6,1,electronics,electronics,budget,593.27,11,11,2,14,0.392857,0.392857
credit_off,1,6,1,electronics,electronics,standard,886.93,11,11,2,7,0.392857,0.392857
credit_off,1,6,1,electronics,electronics,premium,1426.64,6,6,1,4,0.214286,0.214286
credit_off,1,6,1,appliances,appliances,budget,576.84,4,4,6,3,0.400000,0.400000
credit_off,1,6,1,appliances,appliances,standard,828.19,4,4,3,1,0.400000,0.400000
credit_off,1,6,1,appliances,appliances,premium,1235.43,2,2,3,1,0.200000,0.200000
credit_off,1,7,1,food,food,budget,184.38,400,399,0,0,0.399399,0.399399
credit_off,1,7,1,food,food,standard,326.08,400,400,1,22,0.400400,0.400400
credit_off,1,7,1,food,food,premium,550.81,200,200,8,16,0.200200,0.200200
credit_off,1,7,1,leisure,leisure,budget,119.25,400,400,6,1,0.406504,0.406504
credit_off,1,7,1,leisure,leisure,standard,206.17,400,384,0,19,0.390244,0.390244
credit_off,1,7,1,leisure,leisure,premium,361.49,200,200,1,9,0.203252,0.203252
credit_off,1,7,1,clothing,clothing,budget,271.25,67,47,0,25,0.376000,0.376000
credit_off,1,7,1,clothing,clothing,standard,421.97,67,45,0,6,0.360000,0.360000
credit_off,1,7,1,clothing,clothing,premium,665.33,33,33,6,6,0.264000,0.264000
credit_off,1,7,1,hobby,hobby,budget,381.35,33,23,0,27,0.315068,0.315068
credit_off,1,7,1,hobby,hobby,standard,611.93,33,33,2,3,0.452055,0.452055
credit_off,1,7,1,hobby,hobby,premium,1004.64,17,17,9,1,0.232877,0.232877
credit_off,1,7,1,electronics,electronics,budget,598.67,11,10,0,16,0.370370,0.370370
credit_off,1,7,1,electronics,electronics,standard,894.99,11,11,5,4,0.407407,0.407407
credit_off,1,7,1,electronics,electronics,premium,1438.53,6,6,4,1,0.222222,0.222222
credit_off,1,7,1,appliances,appliances,budget,605.68,4,4,4,4,0.400000,0.400000
credit_off,1,7,1,appliances,appliances,standard,859.25,4,4,2,2,0.400000,0.400000
credit_off,1,7,1,appliances,appliances,premium,1297.20,2,2,3,0,0.200000,0.200000
credit_off,1,8,1,food,food,budget,184.36,400,400,21,0,0.409836,0.409836
credit_off,1,8,1,food,food,standard,326.12,400,400,44,27,0.409836,0.409836
credit_off,1,8,1,food,food,premium,551.92,200,176,0,13,0.180328,0.180328
credit_off,1,8,1,leisure,leisure,budget,119.34,400,400,15,1,0.411523,0.411523
credit_off,1,8,1,leisure,leisure,standard,205.75,400,400,44,18,0.411523,0.411523
credit_off,1,8,1,leisure,leisure,premium,361.58,200,172,0,10,0.176955,0.176955
credit_off,1,8,1,clothing,clothing,budget,267.21,67,52,0,26,0.356164,0.356164
credit_off,1,8,1,clothing,clothing,standard,415.04,67,67,3,8,0.458904,0.458904
credit_off,1,8,1,clothing,clothing,premium,671.38,33,27,0,6,0.184932,0.184932
credit_off,1,8,1,hobby,hobby,budget,375.58,33,33,9,28,0.434211,0.434211
credit_off,1,8,1,hobby,hobby,standard,613.78,33,28,0,4,0.368421,0.368421
credit_off,1,8,1,hobby,hobby,premium,1031.24,17,15,0,3,0.197368,0.197368
credit_off,1,8,1,electronics,electronics,budget,595.95,11,5,0,17,0.294118,0.294118
credit_off,1,8,1,electronics,electronics,standard,915.34,11,8,0,3,0.470588,0.470588
credit_off,1,8,1,electronics,electronics,premium,1486.48,6,4,0,4,0.235294,0.235294
credit_off,1,8,1,appliances,appliances,budget,635.97,4,4,4,5,0.500000,0.500000
credit_off,1,8,1,appliances,appliances,standard,880.73,4,4,4,0,0.500000,0.500000
credit_off,1,8,1,appliances,appliances,premium,1362.06,2,0,0,2,0.000000,0.000000
credit_off,1,9,1,food,food,budget,184.85,400,400,0,0,0.400000,0.400000
credit_off,1,9,1,food,food,standard,327.91,400,400,35,29,0.400000,0.400000
credit_off,1,9,1,food,food,premium,548.60,200,200,24,18,0.200000,0.200000
credit_off,1,9,1,leisure,leisure,budget,119.56,400,387,0,2,0.392097,0.392097
credit_off,1,9,1,leisure,leisure,standard,206.89,400,400,16,20,0.405268,0.405268
credit_off,1,9,1,leisure,leisure,premium,359.04,200,200,20,11,0.202634,0.202634
credit_off,1,9,1,clothing,clothing,budget,264.22,67,64,0,29,0.412903,0.412903
credit_off,1,9,1,clothing,clothing,standard,415.97,67,58,0,4,0.374194,0.374194
credit_off,1,9,1,clothing,clothing,premium,665.28,33,33,8,6,0.212903,0.212903
credit_off,1,9,1,hobby,hobby,budget,380.70,33,33,11,24,0.464789,0.464789
credit_off,1,9,1,hobby,hobby,standard,609.13,33,22,0,5,0.309859,0.309859
credit_off,1,9,1,hobby,hobby,premium,1025.17,17,16,0,5,0.225352,0.225352
credit_off,1,9,1,electronics,electronics,budget,579.69,11,8,0,19,0.347826,0.347826
credit_off,1,9,1,electronics,electronics,standard,902.85,11,11,0,6,0.478261,0.478261
credit_off,1,9,1,electronics,electronics,premium,1461.70,6,4,0,7,0.173913,0.173913
credit_off,1,9,1,appliances,appliances,budget,667.76,4,4,5,5,0.400000,0.400000
credit_off,1,9,1,appliances,appliances,standard,924.77,4,4,3,1,0.400000,0.400000
credit_off,1,9,1,appliances,appliances,premium,1293.96,2,2,1,3,0.200000,0.200000
credit_off,1,10,1,food,food,budget,184.85,400,400,0,0,0.400000,0.400000
credit_off,1,10,1,food,food,standard,329.35,400,400,24,30,0.400000,0.400000
credit_off,1,10,1,food,food,premium,551.90,200,200,19,11,0.200000,0.200000
credit_off,1,10,1,leisure,leisure,budget,119.37,400,393,0,1,0.397371,0.397371
credit_off,1,10,1,leisure,leisure,standard,207.30,400,396,0,24,0.400404,0.400404
credit_off,1,10,1,leisure,leisure,premium,360.84,200,200,13,11,0.202224,0.202224
credit_off,1,10,1,clothing,clothing,budget,263.62,67,64,0,29,0.407643,0.407643
credit_off,1,10,1,clothing,clothing,standard,413.17,67,67,14,11,0.426752,0.426752
credit_off,1,10,1,clothing,clothing,premium,673.34,33,26,0,2,0.165605,0.165605
credit_off,1,10,1,hobby,hobby,budget,387.04,33,33,7,32,0.423077,0.423077
credit_off,1,10,1,hobby,hobby,standard,598.98,33,33,16,4,0.423077,0.423077
credit_off,1,10,1,hobby,hobby,premium,1022.16,17,12,0,4,0.153846,0.153846
credit_off,1,10,1,electronics,electronics,budget,571.79,11,11,5,22,0.392857,0.392857
credit_off,1,10,1,electronics,electronics,standard,902.85,11,11,4,4,0.392857,0.392857
credit_off,1,10,1,electronics,electronics,premium,1437.34,6,6,4,4,0.214286,0.214286
credit_off,1,10,1,appliances,appliances,budget,701.15,4,4,11,5,0.800000,0.800000
credit_off,1,10,1,appliances,appliances,standard,959.45,4,1,0,4,0.200000,0.200000
credit_off,1,10,1,appliances,appliances,premium,1326.31,2,0,0,1,0.000000,0.000000
credit_off,1,11,1,food,food,budget,184.85,400,400,0,0,0.400000,0.400000
credit_off,1,11,1,food,food,standard,330.34,400,400,13,22,0.400000,0.400000
credit_off,1,11,1,food,food,premium,554.52,200,200,12,12,0.200000,0.200000
credit_off,1,11,1,leisure,leisure,budget,119.27,400,400,2,2,0.406091,0.406091
credit_off,1,11,1,leisure,leisure,standard,207.20,400,400,17,18,0.406091,0.406091
credit_off,1,11,1,leisure,leisure,premium,362.01,200,185,0,14,0.187817,0.187817
credit_off,1,11,1,clothing,clothing,budget,263.03,67,65,0,28,0.403727,0.403727
credit_off,1,11,1,clothing,clothing,standard,417.49,67,63,0,9,0.391304,0.391304
credit_off,1,11,1,clothing,clothing,premium,666.20,33,33,5,4,0.204969,0.204969
credit_off,1,11,1,hobby,hobby,budget,391.15,33,33,11,31,0.397590,0.397590
credit_off,1,11,1,hobby,hobby,standard,613.50,33,33,6,3,0.397590,0.397590
credit_off,1,11,1,hobby,hobby,premium,1007.12,17,17,6,1,0.204819,0.204819
credit_off,1,11,1,electronics,electronics,budget,584.78,11,8,0,25,0.347826,0.347826
credit_off,1,11,1,electronics,electronics,standard,919.27,11,9,0,4,0.391304,0.391304
credit_off,1,11,1,electronics,electronics,premium,1485.25,6,6,0,3,0.260870,0.260870
credit_off,1,11,1,appliances,appliances,budget,736.21,4,4,4,6,0.400000,0.400000
credit_off,1,11,1,appliances,appliances,standard,923.47,4,4,2,2,0.400000,0.400000
credit_off,1,11,1,appliances,appliances,premium,1259.99,2,2,1,3,0.200000,0.200000
credit_off,1,12,1,food,food,budget,184.85,400,400,28,0,0.411946,0.411946
credit_off,1,12,1,food,food,standard,330.87,400,395,0,25,0.406797,0.406797
credit_off,1,12,1,food,food,premium,556.18,200,176,0,20,0.181256,0.181256
credit_off,1,12,1,leisure,leisure,budget,119.30,400,393,0,1,0.398985,0.398985
credit_off,1,12,1,leisure,leisure,standard,207.64,400,392,0,22,0.397970,0.397970
credit_off,1,12,1,leisure,leisure,premium,360.65,200,200,9,8,0.203046,0.203046
credit_off,1,12,1,clothing,clothing,budget,262.64,67,66,0,30,0.407407,0.407407
credit_off,1,12,1,clothing,clothing,standard,416.24,67,67,2,7,0.413580,0.413580
credit_off,1,12,1,clothing,clothing,premium,671.25,33,29,0,3,0.179012,0.179012
credit_off,1,12,1,hobby,hobby,budget,397.67,33,20,0,34,0.307692,0.307692
credit_off,1,12,1,hobby,hobby,standard,619.08,33,29,0,6,0.446154,0.446154
credit_off,1,12,1,hobby,hobby,premium,1024.90,17,16,0,2,0.246154,0.246154
credit_off,1,12,1,electronics,electronics,budget,576.81,11,11,6,26,0.392857,0.392857
credit_off,1,12,1,electronics,electronics,standard,910.91,11,11,0,4,0.392857,0.392857
credit_off,1,12,1,electronics,electronics,premium,1485.25,6,6,1,4,0.214286,0.214286
credit_off,1,12,1,appliances,appliances,budget,773.02,4,2,0,8,0.285714,0.285714
credit_off,1,12,1,appliances,appliances,standard,946.56,4,3,0,2,0.428571,0.428571
credit_off,1,12,1,appliances,appliances,premium,1291.49,2,2,3,0,0.285714,0.285714
credit_off,1,13,1,food,food,budget,185.49,400,400,60,0,0.425532,0.425532
credit_off,1,13,1,food,food,standard,330.67,400,340,0,28,0.361702,0.361702
credit_off,1,13,1,food,food,premium,552.84,200,200,0,15,0.212766,0.212766
credit_off,1,13,1,leisure,leisure,budget,119.19,400,400,46,2,0.423729,0.423729
credit_off,1,13,1,leisure,leisure,standard,207.43,400,357,0,21,0.378178,0.378178
credit_off,1,13,1,leisure,leisure,premium,361.47,200,187,0,14,0.198093,0.198093
credit_off,1,13,1,clothing,clothing,budget,262.44,67,59,0,26,0.418440,0.418440
credit_off,1,13,1,clothing,clothing,standard,416.87,67,49,0,5,0.347518,0.347518
credit_off,1,13,1,clothing,clothing,premium,667.18,33,33,0,7,0.234043,0.234043
credit_off,1,13,1,hobby,hobby,budget,389.83,33,33,3,33,0.478261,0.478261
credit_off,1,13,1,hobby,hobby,standard,615.32,33,21,0,6,0.304348,0.304348
credit_off,1,13,1,hobby,hobby,premium,1021.88,17,15,0,3,0.217391,0.217391
credit_off,1,13,1,electronics,electronics,budget,592.54,11,11,0,31,0.458333,0.458333
credit_off,1,13,1,electronics,electronics,standard,910.91,11,10,0,6,0.416667,0.416667
credit_off,1,13,1,electronics,electronics,premium,1497.63,6,3,0,3,0.125000,0.125000
credit_off,1,13,1,appliances,appliances,budget,753.70,4,1,0,7,0.142857,0.142857
credit_off,1,13,1,appliances,appliances,standard,934.72,4,4,1,0,0.571429,0.571429
credit_off,1,13,1,appliances,appliances,premium,1356.07,2,2,3,1,0.285714,0.285714
credit_off,1,14,1,food,food,budget,186.88,400,400,12,0,0.405268,0.405268
credit_off,1,14,1,food,food,standard,328.19,400,400,67,29,0.405268,0.405268
credit_off,1,14,1,food,food,premium,552.84,200,187,0,15,0.189463,0.189463
credit_off,1,14,1,leisure,leisure,budget,119.88,400,397,0,2,0.403866,0.403866
credit_off,1,14,1,leisure,leisure,standard,206.31,400,400,56,23,0.406918,0.406918
credit_off,1,14,1,leisure,leisure,premium,360.29,200,186,0,12,0.189217,0.189217
credit_off,1,14,1,clothing,clothing,budget,260.88,67,55,0,26,0.364238,0.364238
credit_off,1,14,1,clothing,clothing,standard,411.27,67,67,3,15,0.443709,0.443709
credit_off,1,14,1,clothing,clothing,premium,667.18,33,29,0,4,0.192053,0.192053
credit_off,1,14,1,hobby,hobby,budget,391.61,33,24,0,33,0.342857,0.342857
credit_off,1,14,1,hobby,hobby,standard,604.14,33,33,1,6,0.471429,0.471429
credit_off,1,14,1,hobby,hobby,premium,1015.87,17,13,0,4,0.185714,0.185714
credit_off,1,14,1,electronics,electronics,budget,592.54,11,5,0,28,0.294118,0.294118
credit_off,1,14,1,electronics,electronics,standard,906.77,11,8,0,2,0.470588,0.470588
credit_off,1,14,1,electronics,electronics,premium,1460.19,6,4,0,3,0.235294,0.235294
credit_off,1,14,1,appliances,appliances,budget,725.43,4,4,1,10,0.400000,0.400000
credit_off,1,14,1,appliances,appliances,standard,946.41,4,4,3,1,0.400000,0.400000
credit_off,1,14,1,appliances,appliances,premium,1423.87,2,2,0,4,0.200000,0.200000
credit_off,1,15,1,food,food,budget,187.16,400,399,0,0,0.399399,0.399399
credit_off,1,15,1,food,food,standard,330.93,400,400,31,25,0.400400,0.400400
credit_off,1,15,1,food,food,premium,551.05,200,200,22,19,0.200200,0.200200
credit_off,1,15,1,leisure,leisure,budget,119.83,400,377,0,2,0.385875,0.385875
credit_off,1,15,1,leisure,leisure,standard,207.76,400,400,8,21,0.409417,0.409417
credit_off,1,15,1,leisure,leisure,premium,359.03,200,200,11,18,0.204708,0.204708
credit_off,1,15,1,clothing,clothing,budget,258.54,67,67,4,26,0.426752,0.426752
credit_off,1,15,1,clothing,clothing,standard,412.19,67,57,0,5,0.363057,0.363057
credit_off,1,15,1,clothing,clothing,premium,663.14,33,33,2,7,0.210191,0.210191
credit_off,1,15,1,hobby,hobby,budget,386.27,33,29,0,38,0.367089,0.367089
credit_off,1,15,1,hobby,hobby,standard,605.05,33,33,2,5,0.417722,0.417722
credit_off,1,15,1,hobby,hobby,premium,1003.92,17,17,2,4,0.215190,0.215190
credit_off,1,15,1,electronics,electronics,budget,576.38,11,11,4,29,0.478261,0.478261
credit_off,1,15,1,electronics,electronics,standard,894.41,11,7,0,3,0.304348,0.304348
credit_off,1,15,1,electronics,electronics,premium,1435.85,6,5,0,1,0.217391,0.217391
credit_off,1,15,1,appliances,appliances,budget,734.50,4,2,0,13,0.250000,0.250000
credit_off,1,15,1,appliances,appliances,standard,981.90,4,4,0,2,0.500000,0.500000
credit_off,1,15,1,appliances,appliances,premium,1423.87,2,2,2,1,0.250000,0.250000
credit_off,1,16,1,food,food,budget,187.14,400,398,0,0,0.398798,0.398798
credit_off,1,16,1,food,food,standard,332.22,400,400,15,36,0.400802,0.400802
credit_off,1,16,1,food,food,premium,554.08,200,200,16,21,0.200401,0.200401
credit_off,1,16,1,leisure,leisure,budget,119.49,400,382,0,3,0.389002,0.389002
credit_off,1,16,1,leisure,leisure,standard,207.97,400,400,4,23,0.407332,0.407332
credit_off,1,16,1,leisure,leisure,premium,360.02,200,200,15,8,0.203666,0.203666
credit_off,1,16,1,clothing,clothing,budget,259.31,67,67,3,23,0.421384,0.421384
credit_off,1,16,1,clothing,clothing,standard,409.11,67,67,25,14,0.421384,0.421384
credit_off,1,16,1,clothing,clothing,premium,665.15,33,25,0,3,0.157233,0.157233
credit_off,1,16,1,hobby,hobby,budget,383.92,33,30,0,41,0.379747,0.379747
credit_off,1,16,1,hobby,hobby,standard,606.89,33,33,11,5,0.417722,0.417722
credit_off,1,16,1,hobby,hobby,premium,1009.82,17,16,0,3,0.202532,0.202532
credit_off,1,16,1,electronics,electronics,budget,586.86,11,11,5,32,0.458333,0.458333
credit_off,1,16,1,electronics,electronics,standard,878.14,11,11,6,5,0.458333,0.458333
credit_off,1,16,1,electronics,electronics,premium,1423.89,6,2,0,3,0.083333,0.083333
credit_off,1,16,1,appliances,appliances,budget,716.14,4,4,2,14,0.400000,0.400000
credit_off,1,16,1,appliances,appliances,standard,981.90,4,4,2,2,0.400000,0.400000
credit_off,1,16,1,appliances,appliances,premium,1495.07,2,2,0,2,0.200000,0.200000
credit_off,1,17,1,food,food,budget,187.09,400,400,0,0,0.400000,0.400000
credit_off,1,17,1,food,food,standard,332.84,400,400,2,25,0.400000,0.400000
credit_off,1,17,1,food,food,premium,556.29,200,200,3,14,0.200000,0.200000
credit_off,1,17,1,leisure,leisure,budget,119.22,400,400,10,0,0.408163,0.408163
credit_off,1,17,1,leisure,leisure,standard,208.07,400,382,0,20,0.389796,0.389796
credit_off,1,17,1,leisure,leisure,premium,361.37,200,198,0,6,0.202041,0.202041
credit_off,1,17,1,clothing,clothing,budget,259.89,67,59,0,27,0.371069,0.371069
credit_off,1,17,1,clothing,clothing,standard,416.74,67,67,5,10,0.421384,0.421384
credit_off,1,17,1,clothing,clothing,premium,657.08,33,33,15,0,0.207547,0.207547
credit_off,1,17,1,hobby,hobby,budget,382.18,33,23,0,44,0.370968,0.370968
credit_off,1,17,1,hobby,hobby,standard,617.00,33,22,0,2,0.354839,0.354839
credit_off,1,17,1,hobby,hobby,premium,1006.85,17,17,1,5,0.274194,0.274194
credit_off,1,17,1,electronics,electronics,budget,600.20,11,11,0,33,0.392857,0.392857
credit_off,1,17,1,electronics,electronics,standard,902.09,11,11,3,5,0.392857,0.392857
credit_off,1,17,1,electronics,electronics,premium,1376.43,6,6,6,5,0.214286,0.214286
credit_off,1,17,1,appliances,appliances,budget,734.04,4,4,1,12,0.400000,0.400000
credit_off,1,17,1,appliances,appliances,standard,1006.45,4,4,2,2,0.400000,0.400000
credit_off,1,17,1,appliances,appliances,premium,1495.07,2,2,1,2,0.200000,0.200000
credit_off,1,18,1,food,food,budget,187.09,400,400,12,0,0.405680,0.405680
credit_off,1,18,1,food,food,standard,332.92,400,400,20,30,0.405680,0.405680
credit_off,1,18,1,food,food,premium,556.71,200,186,0,14,0.188641,0.188641
credit_off,1,18,1,leisure,leisure,budget,119.37,400,400,4,1,0.409417,0.409417
credit_off,1,18,1,leisure,leisure,standard,207.60,400,400,23,22,0.409417,0.409417
credit_off,1,18,1,leisure,leisure,premium,361.19,200,177,0,9,0.181167,0.181167
credit_off,1,18,1,clothing,clothing,budget,258.34,67,67,13,29,0.458904,0.458904
credit_off,1,18,1,clothing,clothing,standard,418.30,67,50,0,9,0.342466,0.342466
credit_off,1,18,1,clothing,clothing,premium,672.02,33,29,0,5,0.198630,0.198630
credit_off,1,18,1,hobby,hobby,budget,376.39,33,33,5,43,0.397590,0.397590
credit_off,1,18,1,hobby,hobby,standard,606.72,33,33,9,5,0.397590,0.397590
credit_off,1,18,1,hobby,hobby,premium,1009.82,17,17,4,3,0.204819,0.204819
credit_off,1,18,1,electronics,electronics,budget,600.20,11,10,0,36,0.434783,0.434783
