scenario,seed,tick,warmup,cohort,archetype,households,cash,loans_outstanding,debt_service,spend,quality,wanted,obtained,wait_median,wait_median_met,food_wanted,food_obtained,food_spend,food_budget_units,food_standard_units,food_premium_units,leisure_wanted,leisure_obtained,leisure_spend,leisure_budget_units,leisure_standard_units,leisure_premium_units,clothing_wanted,clothing_obtained,clothing_spend,clothing_budget_units,clothing_standard_units,clothing_premium_units,hobby_wanted,hobby_obtained,hobby_spend,hobby_budget_units,hobby_standard_units,hobby_premium_units,electronics_wanted,electronics_obtained,electronics_spend,electronics_budget_units,electronics_standard_units,electronics_premium_units,appliances_wanted,appliances_obtained,appliances_spend,appliances_budget_units,appliances_standard_units,appliances_premium_units
credit_off,4,7,1,abstainer,average,200,196081.32,0.00,0.00,132936.02,436.840000,503,447,0.000000,0.000000,200,200,64833.28,74,80,46,200,197,40402.53,74,82,41,56,32,15588.82,3,19,10,26,12,7781.65,2,7,3,16,5,3065.80,5,0,0,5,1,1263.94,0,0,1
credit_off,4,7,1,borrower,average,800,823184.67,0.00,0.00,510889.33,1684.920000,1959,1763,1.000000,0.000000,800,795,247489.82,321,320,154,800,788,159547.17,311,318,159,170,85,39223.21,17,45,23,114,65,36794.06,31,20,14,43,21,20603.05,5,11,5,32,9,7232.02,4,4,1
credit_off,4,8,1,abstainer,average,200,203350.80,0.00,0.00,123821.26,413.200000,497,440,1.000000,0.000000,200,200,61447.92,88,73,39,200,196,38913.72,84,74,38,45,24,9458.67,11,9,4,32,13,7937.03,6,3,4,14,6,5183.32,1,5,0,6,1,880.60,0,1,0
credit_off,4,8,1,borrower,average,800,817581.78,0.00,0.00,526686.82,1726.080000,2022,1798,0.000000,0.000000,800,798,252219.96,310,327,161,800,780,160186.28,292,326,162,207,127,53352.68,48,51,28,136,70,40016.45,27,30,13,44,15,13652.34,6,6,3,35,8,7259.11,3,3,2
credit_off,4,9,1,abstainer,average,200,208004.06,0.00,0.00,126437.48,419.840000,507,438,0.000000,0.000000,200,195,62527.37,72,83,40,200,190,39252.32,68,83,39,56,33,12987.49,14,14,5,33,14,7456.01,5,8,1,12,5,3311.67,4,1,0,6,1,902.62,0,1,0
credit_off,4,9,1,borrower,average,800,826296.97,0.00,0.00,512368.74,1683.440000,2031,1776,0.000000,0.000000,800,788,243147.15,328,317,143,800,783,157218.20,315,317,151,208,120,49512.58,44,53,23,128,57,35318.66,18,25,14,60,22,21206.24,7,9,6,35,6,5965.91,1,3,2
credit_off,4,10,1,abstainer,average,200,214322.33,0.00,0.00,124772.47,419.040000,507,440,1.000000,0.000000,200,200,62488.65,79,84,37,200,198,40838.33,72,85,41,49,19,7146.16,12,3,4,39,19,10120.32,10,6,3,10,2,2373.77,0,1,1,9,2,1805.24,0,2,0
credit_off,4,10,1,borrower,average,800,821876.41,0.00,0.00,525504.49,1720.480000,2064,1808,0.000000,0.000000,800,798,252242.57,319,316,163,800,792,159868.58,319,314,159,229,126,51823.46,55,42,29,136,60,34094.00,23,27,10,63,26,23102.84,11,10,5,36,6,4373.04,4,2,0
credit_off,4,11,1,abstainer,average,200,201919.33,0.00,0.00,143493.74,450.440000,540,461,0.000000,0.000000,200,198,64595.92,74,79,45,200,195,40484.39,70,84,41,65,39,16931.60,11,19,9,46,22,13606.19,6,11,5,14,3,3942.94,0,1,2,15,4,3932.70,2,0,2
credit_off,4,11,1,borrower,average,800,831927.61,0.00,0.00,511032.73,1690.840000,2071,1789,1.000000,0.000000,800,798,249397.88,326,321,151,800,784,157465.11,317,316,151,219,122,49649.12,50,48,24,154,61,34623.92,27,22,12,62,18,14893.00,11,4,3,36,6,5003.70,2,4,0
credit_off,4,12,1,abstainer,average,200,212032.36,0.00,0.00,120977.71,403.200000,523,432,1.000000,0.000000,200,197,60140.40,90,70,37,200,195,38318.10,89,68,38,53,20,8755.80,8,6,6,38,12,6575.66,6,4,2,19,5,3934.49,2,3,0,13,3,3253.26,0,2,1
credit_off,4,12,1,borrower,average,800,833086.80,0.00,0.00,519924.74,1704.200000,2084,1797,1.000000,0.000000,800,796,252188.10,310,330,156,800,782,156805.72,306,332,144,220,127,51548.67,59,41,27,152,65,36009.30,27,29,9,76,20,17288.69,9,8,3,36,7,6084.26,4,2,1
credit_off,4,13,1,abstainer,average,200,209932.87,0.00,0.00,133190.23,434.240000,531,452,1.000000,0.000000,200,200,64562.27,82,71,47,200,197,40388.20,75,81,41,65,37,15550.08,12,18,7,32,10,5175.54,5,4,1,19,5,4362.51,3,1,1,15,3,3151.63,1,1,1
credit_off,4,13,1,borrower,average,800,841552.36,0.00,0.00,512618.37,1684.160000,2032,1764,1.000000,0.000000,800,799,251557.20,317,329,153,800,786,158923.85,311,319,156,178,103,43013.98,38,44,21,135,46,30681.44,10,22,14,79,23,21836.53,8,10,5,40,7,6605.37,3,3,1
credit_off,4,14,1,abstainer,average,200,222511.88,0.00,0.00,118511.73,403.080000,514,435,2.500000,0.000000,200,196,59825.98,87,74,35,200,196,38892.12,86,71,39,52,28,9100.61,19,8,1,31,10,5971.10,3,5,2,16,2,1894.38,0,2,0,15,3,2827.54,1,2,0
credit_off,4,14,1,borrower,average,800,834183.81,0.00,0.00,528452.48,1716.440000,2076,1807,1.000000,0.000000,800,791,249375.16,313,326,152,800,791,159715.64,310,327,154,202,124,48927.88,48,59,17,157,69,39637.13,28,27,14,78,25,23524.93,11,9,5,39,7,7271.74,3,2,2
credit_off,4,15,1,abstainer,average,200,222543.03,0.00,0.00,131059.59,436.080000,520,446,2.500000,0.000000,200,199,65920.27,72,79,48,200,196,41359.92,70,80,46,57,38,15244.07,16,15,7,33,12,7764.09,2,7,3,15,0,0.00,0,0,0,15,1,771.24,1,0,0
credit_off,4,15,1,borrower,average,800,837786.37,0.00,0.00,517481.37,1701.400000,2062,1791,1.000000,0.000000,800,799,249432.91,328,321,150,800,789,158726.28,315,320,154,198,123,51185.54,45,52,26,144,55,33468.76,19,22,14,76,18,18015.92,5,9,4,44,7,6651.96,3,4,0
credit_off,4,16,1,abstainer,average,200,223963.65,0.00,0.00,129670.12,418.960000,521,436,2.000000,0.000000,200,198,64505.34,75,78,45,200,192,38907.12,78,74,40,38,19,7551.61,8,8,3,42,20,12053.20,7,8,5,22,6,5862.33,3,1,2,19,1,790.52,1,0,0
credit_off,4,16,1,borrower,average,800,845098.33,0.00,0.00,513771.97,1682.880000,2073,1780,1.000000,0.000000,800,797,250436.76,325,317,155,800,769,152926.25,322,300,147,201,130,52867.02,56,48,26,151,62,35108.82,25,25,12,73,15,14591.61,6,5,4,48,7,7841.51,2,3,2
credit_off,4,17,1,abstainer,average,200,223125.95,0.00,0.00,131928.44,429.960000,533,453,2.000000,0.000000,200,196,62215.89,77,80,39,200,196,38781.87,81,79,36,58,41,16219.68,18,16,7,36,15,9508.11,4,7,4,20,4,3709.74,2,1,1,19,1,1493.15,0,0,1
credit_off,4,17,1,borrower,average,800,857784.83,0.00,0.00,508397.43,1683.800000,2062,1785,1.000000,0.000000,800,792,248656.23,323,316,153,800,783,155205.95,319,321,143,193,125,51688.05,48,51,26,143,60,30136.50,29,26,5,79,22,19656.27,9,10,3,47,3,3054.43,2,0,1
credit_off,4,18,1,abstainer,average,200,233303.54,0.00,0.00,120913.15,405.640000,517,425,3.000000,0.000000,200,193,60245.35,82,73,38,200,193,39945.13,76,72,45,37,20,8529.72,11,2,7,41,15,8081.00,8,4,3,19,3,3043.62,1,1,1,20,1,1068.33,0,1,0
credit_off,4,18,1,borrower,average,800,889690.54,0.00,0.00,489178.22,1639.280000,2054,1750,2.000000,0.000000,800,774,237923.13,318,327,129,800,787,155928.32,317,328,142,195,116,44238.23,56,45,15,130,48,24903.40,25,16,7,77,20,19993.85,5,10,5,52,5,6191.29,0,3,2
credit_off,4,19,1,abstainer,average,200,224957.38,0.00,0.00,139436.90,444.280000,536,457,1.000000,0.000000,200,200,64959.14,76,79,45,200,196,40672.79,78,71,47,54,38,16452.18,13,15,10,38,15,8629.92,7,4,4,23,6,6506.65,1,3,2,21,2,2216.22,1,0,1
credit_off,4,19,1,borrower,average,800,892207.64,0.00,0.00,518566.83,1706.960000,2058,1792,2.000000,0.000000,800,799,251300.95,323,321,155,800,789,158891.61,307,329,153,182,113,47351.37,38,52,23,147,68,38242.80,26,29,13,75,16,15912.75,5,7,4,54,7,6867.35,3,3,1
credit_off,4,20,0,abstainer,average,200,231061.78,0.00,0.00,124986.34,415.400000,525,445,4.000000,0.000000,200,199,62257.89,90,67,42,200,198,39140.34,89,69,40,44,28,10184.21,15,10,3,36,14,7501.00,8,3,3,24,5,4372.42,3,1,1,21,1,1530.48,0,0,1
credit_off,4,20,0,borrower,average,800,892760.63,0.00,0.00,520530.94,1691.680000,2075,1768,1.000000,0.000000,800,777,247805.87,310,309,158,800,776,157272.62,311,305,160,193,121,52076.59,40,51,30,149,69,39828.91,25,30,14,80,19,17808.63,8,7,4,53,6,5738.32,2,4,0
credit_off,4,21,0,abstainer,average,200,231998.12,0.00,0.00,130154.40,427.320000,537,449,2.000000,0.000000,200,200,63632.80,80,80,40,200,196,39856.02,75,82,39,54,32,12603.01,10,19,3,36,14,7162.25,6,7,1,26,6,6160.08,2,2,2,21,1,740.24,1,0,0
credit_off,4,21,0,borrower,average,800,884568.98,0.00,0.00,529275.58,1726.280000,2073,1807,1.000000,0.000000,800,799,254344.75,319,320,160,800,791,160581.67,312,318,161,195,129,53389.43,53,46,30,137,66,38180.06,26,26,14,82,15,15438.19,3,8,4,59,7,7341.48,3,2,2
credit_off,4,22,0,abstainer,average,200,237377.96,0.00,0.00,125710.90,414.360000,529,437,3.000000,0.000000,200,196,62982.68,84,67,45,200,198,39833.13,84,73,41,41,20,7318.88,10,8,2,41,17,9755.99,6,8,3,25,5,4290.70,3,1,1,22,1,1529.52,0,0,1
credit_off,4,22,0,borrower,average,800,890944.18,0.00,0.00,514708.73,1677.920000,2079,1766,1.000000,0.000000,800,780,247810.92,316,309,155,800,781,158053.10,316,306,159,196,120,46717.68,57,42,21,131,55,33415.96,19,22,14,94,23,21808.70,8,10,5,58,7,6902.37,3,3,1
credit_off,4,23,0,abstainer,average,200,234539.79,0.00,0.00,133928.91,427.840000,558,450,1.000000,0.000000,200,195,60443.28,85,74,36,200,194,39207.02,80,74,40,62,33,14206.13,8,18,7,46,21,12873.45,8,7,6,27,7,7199.03,2,3,2,23,0,0.00,0,0,0
credit_off,4,23,0,borrower,average,800,895066.26,0.00,0.00,516961.85,1690.520000,2097,1783,1.000000,0.000000,800,783,245884.04,315,326,142,800,782,158961.16,308,315,159,201,134,53099.04,59,49,26,137,54,30205.72,25,18,11,95,21,19418.70,9,8,4,64,9,9393.19,3,4,2
credit_off,4,24,0,abstainer,average,200,241891.43,0.00,0.00,123739.10,409.640000,534,431,4.000000,0.000000,200,197,62254.13,88,66,43,200,194,39378.44,83,68,43,49,22,9305.38,11,4,7,37,13,8164.20,5,4,4,24,3,2851.92,0,3,0,24,2,1785.03,1,1,0
credit_off,4,24,0,borrower,average,800,910221.33,0.00,0.00,505928.86,1677.480000,2085,1785,1.000000,0.000000,800,787,247473.95,312,334,141,800,787,155718.59,317,332,138,183,123,47566.10,54,52,17,148,67,36763.06,28,29,10,92,17,15160.37,7,8,2,62,4,3246.79,3,1,0
credit_off,4,25,0,abstainer,average,200,242576.07,0.00,0.00,130406.10,429.880000,548,443,3.500000,0.000000,200,199,65798.49,79,70,50,200,194,40402.21,78,69,47,65,35,15528.55,10,15,10,34,11,4551.38,8,3,0,26,3,3097.68,1,1,1,23,1,1027.79,0,1,0
credit_off,4,25,0,borrower,average,800,926756.41,0.00,0.00,504548.85,1677.960000,2068,1765,2.000000,0.000000,800,799,252563.13,320,329,150,800,788,158108.27,309,331,148,173,102,44055.39,27,52,23,127,51,27980.15,16,30,5,101,20,15779.80,10,10,0,67,5,6062.11,0,3,2
credit_off,4,26,0,abstainer,average,200,249525.86,0.00,0.00,124140.95,415.560000,550,441,3.500000,0.000000,200,196,61040.50,82,80,34,200,196,40723.88,77,73,46,58,34,11348.29,21,11,2,33,8,5553.41,3,1,4,33,6,4447.08,4,2,0,26,1,1027.79,0,1,0
credit_off,4,26,0,borrower,average,800,951082.61,0.00,0.00,496757.73,1638.080000,2114,1742,2.000000,0.000000,800,760,234445.06,318,320,122,800,789,157870.55,315,325,149,192,100,38930.36,46,36,18,145,65,37803.08,22,30,13,109,21,20364.31,7,9,5,68,7,7344.37,3,2,2
credit_off,4,27,0,abstainer,average,200,244613.54,0.00,0.00,136003.06,437.040000,550,450,3.500000,0.000000,200,200,64705.06,78,80,42,200,196,41133.94,72,78,46,56,33,14142.86,11,13,9,37,12,7870.29,3,5,4,30,7,6424.60,3,3,1,27,2,1726.31,1,1,0
credit_off,4,27,0,borrower,average,800,944770.22,0.00,0.00,527396.32,1719.680000,2134,1810,1.000000,0.000000,800,799,254980.22,321,320,158,800,788,158583.98,312,322,154,221,134,52688.22,56,54,24,135,63,35182.75,28,22,13,108,19,19179.28,6,8,5,70,7,6781.87,3,3,1
credit_off,4,28,0,abstainer,average,200,238908.18,0.00,0.00,136796.10,426.840000,548,451,4.500000,0.000000,200,199,63119.11,87,71,41,200,195,38950.54,86,68,41,43,26,10524.26,12,8,6,45,19,10918.34,9,5,5,34,9,9960.41,3,2,4,26,3,3323.44,1,1,1
credit_off,4,28,0,borrower,average,800,953482.84,0.00,0.00,512371.31,1691.240000,2119,1777,2.000000,0.000000,800,790,252387.05,313,327,150,800,786,157991.22,314,319,153,207,125,53027.00,39,59,27,134,58,33431.50,21,25,12,108,12,10252.80,8,2,2,70,6,5281.74,3,3,0
credit_off,4,29,0,abstainer,average,200,250179.08,0.00,0.00,119819.84,402.120000,542,429,6.000000,0.000000,200,190,58063.98,90,66,34,200,195,38063.45,85,75,35,50,28,13093.92,8,10,10,41,14,9269.75,4,5,5,28,2,1328.74,2,0,0,23,0,0.00,0,0,0
credit_off,4,29,0,borrower,average,800,962315.85,0.00,0.00,512250.92,1668.640000,2145,1766,2.000000,0.000000,800,760,242437.88,310,301,149,800,786,156640.16,315,325,146,216,126,49675.99,59,44,23,136,67,35964.13,29,28,10,118,17,17390.86,6,6,5,75,10,10141.90,4,4,2
credit_off,4,30,0,abstainer,average,200,247269.93,0.00,0.00,133999.89,427.960000,545,443,5.000000,0.000000,200,200,64905.40,79,78,43,200,195,40639.32,73,77,45,44,19,8193.16,7,7,5,42,20,10880.86,10,6,4,34,8,8660.89,2,3,3,25,1,720.26,1,0,0
credit_off,4,30,0,borrower,average,800,976452.29,0.00,0.00,506947.49,1691.840000,2117,1784,2.000000,0.000000,800,800,255542.60,321,322,157,800,787,158640.90,309,323,155,213,133,53238.14,52,60,21,117,45,23515.44,21,18,6,114,15,12249.65,7,8,0,73,4,3760.76,3,0,1
credit_off,4,31,0,abstainer,average,200,246918.61,0.00,0.00,131442.06,428.920000,553,453,5.000000,0.000000,200,196,61649.89,81,80,35,200,198,39967.92,79,79,40,60,38,15319.85,16,15,7,37,15,8604.33,5,7,3,30,5,5170.81,2,1,2,26,1,729.26,1,0,0
credit_off,4,31,0,borrower,average,800,985160.82,0.00,0.00,512375.40,1678.800000,2124,1768,3.000000,0.000000,800,785,249001.38,319,320,146,800,786,158479.26,316,311,159,182,104,44065.62,41,37,26,140,68,38004.98,28,26,14,128,22,20636.38,8,10,4,74,3,2187.78,3,0,0
credit_off,4,32,0,abstainer,average,200,253276.95,0.00,0.00,124732.40,417.240000,548,445,4.500000,0.000000,200,199,62812.18,86,74,39,200,197,39465.29,82,75,40,56,31,11380.83,17,10,4,36,13,7082.50,5,6,2,30,4,3225.88,2,2,0,26,1,765.72,1,0,0
credit_off,4,32,0,borrower,average,800,983180.24,0.00,0.00,523064.51,1702.680000,2128,1779,3.000000,0.000000,800,800,258161.42,313,326,161,800,786,159322.60,307,319,160,178,103,43191.94,36,45,22,141,62,34372.95,24,27,11,128,19,18952.00,8,5,6,81,9,9063.60,3,4,2
credit_off,4,33,0,abstainer,average,200,256621.17,0.00,0.00,127746.52,421.760000,553,440,4.000000,0.000000,200,197,63602.59,79,78,40,200,193,39744.22,75,75,43,58,35,13737.19,15,14,6,37,11,6629.77,2,7,2,30,4,4032.75,1,2,1,28,0,0.00,0,0,0
credit_off,4,33,0,borrower,average,800,978222.16,0.00,0.00,526042.01,1712.800000,2170,1804,2.000000,0.000000,800,795,256032.45,321,314,160,800,789,157913.04,325,307,157,209,129,51609.13,52,53,24,145,68,37000.79,31,24,13,139,19,19214.78,5,9,5,77,4,4271.82,1,2,1
credit_off,4,34,0,abstainer,average,200,253103.37,0.00,0.00,134608.54,428.320000,557,450,3.000000,0.000000,200,194,62909.66,83,67,44,200,195,39772.73,79,73,43,49,31,11704.31,16,10,5,43,21,11360.96,8,10,3,35,7,7136.99,2,3,2,30,2,1723.89,1,1,0
credit_off,4,34,0,borrower,average,800,981526.86,0.00,0.00,517779.23,1697.240000,2156,1783,3.000000,0.000000,800,777,249621.43,317,304,156,800,789,158599.10,316,316,157,205,135,55497.24,50,57,28,132,62,35335.21,25,23,14,138,16,14571.27,9,3,4,81,4,4154.98,1,2,1
credit_off,4,35,0,abstainer,average,200,255079.47,0.00,0.00,129114.64,417.600000,554,440,3.500000,0.000000,200,193,58176.94,90,74,29,200,196,39414.23,78,79,39,46,27,12663.40,4,15,8,43,18,12280.20,2,10,6,33,4,4887.20,0,2,2,32,2,1692.67,1,1,0
credit_off,4,35,0,borrower,average,800,993193.50,0.00,0.00,509417.29,1674.680000,2146,1765,3.500000,0.000000,800,773,244949.34,310,326,137,800,786,158223.65,312,317,157,196,126,51196.43,50,51,25,124,55,31161.58,21,23,11,141,20,18873.27,7,9,4,85,5,5013.02,1,3,1
credit_off,4,36,0,abstainer,average,200,259314.73,0.00,0.00,126855.48,411.160000,541,433,7.000000,0.000000,200,198,63597.06,84,72,42,200,195,38331.93,84,74,37,38,17,8022.61,4,7,6,38,14,8328.40,6,4,4,34,7,7104.18,2,3,2,31,2,1471.30,2,0,0
credit_off,4,36,0,borrower,average,800,992997.91,0.00,0.00,521279.52,1706.360000,2166,1803,3.000000,0.000000,800,797,257405.34,311,328,158,800,782,154748.34,314,326,142,203,136,53200.80,56,60,20,136,64,33729.68,27,29,8,141,20,18574.88,8,8,4,86,4,3620.48,1,3,0
credit_off,4,37,0,abstainer,average,200,258453.79,0.00,0.00,131951.68,429.160000,557,447,5.000000,0.000000,200,195,64821.18,77,71,47,200,194,39221.17,75,80,39,59,42,16719.22,18,16,8,35,10,4557.90,5,5,0,32,5,5294.68,2,1,2,31,1,1337.53,0,0,1
credit_off,4,37,0,borrower,average,800,1017521.06,0.00,0.00,496560.78,1652.160000,2114,1736,5.000000,0.000000,800,778,248695.25,323,302,153,800,788,157069.63,317,320,151,171,100,43330.20,30,45,25,123,54,32368.50,15,27,12,131,10,10292.22,3,4,3,89,6,4804.98,4,2,0
credit_off,4,38,0,abstainer,average,200,265094.53,0.00,0.00,124450.00,413.200000,544,434,7.000000,0.000000,200,194,63310.80,79,72,43,200,195,39824.69,82,67,46,48,29,10027.24,16,11,2,33,11,6228.37,7,0,4,31,3,3370.27,0,2,1,32,2,1688.63,1,1,0
credit_off,4,38,0,borrower,average,800,1031924.22,0.00,0.00,506680.77,1663.720000,2145,1767,5.000000,0.000000,800,783,246379.38,321,328,134,800,787,156079.72,317,323,147,174,104,40283.56,51,33,20,134,63,35479.22,24,26,13,142,22,20784.82,8,9,5,95,8,7674.07,3,3,2
credit_off,4,39,0,abstainer,average,200,266399.22,0.00,0.00,129786.05,427.960000,554,445,6.000000,0.000000,200,200,65060.87,87,66,47,200,196,40455.09,75,76,45,54,33,12331.98,16,12,5,34,13,8709.98,3,5,5,34,2,2455.82,0,1,1,32,1,772.31,1,0,0
credit_off,4,39,0,borrower,average,800,1038588.44,0.00,0.00,514419.71,1701.720000,2173,1797,4.000000,0.000000,800,798,257211.37,311,334,153,800,790,157823.18,316,319,155,199,121,45537.47,51,55,15,134,64,34828.64,27,25,12,141,15,10232.72,11,4,0,99,9,8786.33,3,4,2
credit_off,4,40,0,abstainer,average,200,264126.68,0.00,0.00,133363.28,430.520000,563,453,6.000000,0.000000,200,200,65025.85,89,64,47,200,196,39779.48,83,68,45,52,32,11621.95,18,9,5,40,18,10824.29,6,7,5,38,6,5138.99,3,2,1,33,1,972.72,0,1,0
credit_off,4,40,0,borrower,average,800,1028075.11,0.00,0.00,531597.26,1724.760000,2185,1811,4.000000,0.000000,800,799,258681.32,310,336,153,800,786,156874.52,317,315,154,213,135,54847.28,49,58,28,128,63,34426.93,26,25,12,148,22,20412.17,8,9,5,96,6,6355.04,2,2,2
credit_off,4,41,0,abstainer,average,200,263850.63,0.00,0.00,131366.79,424.560000,554,444,8.000000,0.000000,200,194,62910.67,81,72,41,200,198,38950.47,81,81,36,47,31,14509.66,8,12,11,36,14,7996.16,5,6,3,38,6,5561.21,2,3,1,33,1,1438.62,0,0,1
credit_off,4,41,0,borrower,average,800,1045244.72,0.00,0.00,503914.32,1652.120000,2171,1753,5.000000,0.000000,800,763,245527.17,319,291,153,800,779,153118.37,319,319,141,204,124,47877.67,52,55,17,132,63,33666.84,26,27,10,137,19,18802.05,6,8,5,98,5,4922.22,2,2,1
credit_off,4,42,0,abstainer,average,200,272029.19,0.00,0.00,122912.18,409.520000,542,430,11.000000,0.000000,200,193,62931.94,78,74,41,200,196,39591.30,79,75,42,33,16,6671.77,8,3,5,42,22,10616.55,13,6,3,34,2,2164.07,1,0,1,33,1,936.55,0,1,0
credit_off,4,42,0,borrower,average,800,1070811.31,0.00,0.00,495517.34,1651.400000,2167,1753,5.000000,0.000000,800,783,247522.14,322,326,135,800,787,157912.62,311,318,158,216,110,40850.42,59,34,17,114,48,25543.31,19,22,7,136,19,17917.16,7,8,4,101,6,5771.69,2,3,1
credit_off,4,43,0,abstainer,average,200,271002.18,0.00,0.00,132117.75,430.720000,566,448,7.000000,0.000000,200,200,65538.28,78,80,42,200,196,39867.53,74,81,41,59,35,14156.80,15,12,8,35,10,6740.80,2,4,4,37,3,2183.68,2,1,0,35,4,3630.66,3,0,1
credit_off,4,43,0,borrower,average,800,1069335.80,0.00,0.00,522559.44,1706.280000,2184,1797,4.000000,0.000000,800,796,257756.60,318,320,158,800,783,156815.01,315,309,159,206,127,49469.51,52,55,20,134,63,33338.19,31,19,13,138,22,19288.61,9,10,3,106,6,5891.52,1,4,1
credit_off,4,44,0,abstainer,average,200,269730.87,0.00,0.00,132362.05,428.240000,565,448,6.000000,0.000000,200,195,64072.45,83,67,45,200,197,39788.32,79,76,42,53,33,13280.25,13,14,6,38,16,9415.23,5,7,4,40,5,4066.04,2,3,0,34,2,1739.76,1,1,0
credit_off,4,44,0,borrower,average,800,1078558.56,0.00,0.00,511861.17,1677.040000,2154,1766,6.500000,0.000000,800,780,252238.70,317,311,152,800,786,156092.53,320,313,153,183,110,46725.79,38,45,27,133,67,36338.65,28,26,13,131,18,16026.02,8,7,3,107,5,4439.48,2,3,0
credit_off,4,45,0,abstainer,average,200,271905.84,0.00,0.00,128915.77,425.840000,560,444,7.500000,0.000000,200,200,65639.38,82,74,44,200,197,40205.08,79,73,45,53,31,12517.69,11,15,5,33,11,6309.31,3,6,2,40,4,2845.16,3,1,0,34,1,1399.15,0,0,1
